SID,condition,trial,trial_type,phase,phase_onset,phase_offset,num_looks
21018_03,1a,p1,FN,label,24682,28797,0
21018_03,1a,p1,FN,response,28798,31476,0
21018_03,1a,p2,NF,label,43282,47361,0
21018_03,1a,p2,NF,response,47362,49993,0
21018_03,1a,p3,FF,label,58817,64530,1
21018_03,1a,p3,FF,response,64531,66980,0
21018_03,1a,t1,FN,label,81873,86495,1
21018_03,1a,t1,FN,response,86496,88740,1
21018_03,1a,t2,NF,label,97989,102237,1
21018_03,1a,t2,NF,response,102238,109820,2
21018_03,1a,t3,NN,label,119344,123657,1
21018_03,1a,t3,NN,response,123658,131852,1
21018_03,1a,t4,FN,label,140798,146845,0
21018_03,1a,t4,FN,response,146846,154904,2
21018_03,1a,t5,NF,label,166991,172923,0
21018_03,1a,t5,NF,response,172924,175542,2
21018_03,1a,t6,NN,label,185043,190399,0
21018_03,1a,t6,NN,response,190400,213520,2
21018_03,1a,t7,FN,label,224548,229253,1
21018_03,1a,t7,FN,response,229254,233172,2
21018_03,1a,t8,NF,label,246904,252857,1
21018_03,1a,t8,NF,response,252858,266992,0
21018_03,1a,t9,NN,label,277068,282437,2
21018_03,1a,t9,NN,response,282438,309944,4
21018_03,1a,t10,FN,label,320311,330648,1
21018_03,1a,t10,FN,response,330649,334220,0
21018_03,1a,t11,NF,label,345103,350063,2
21018_03,1a,t11,NF,response,350064,354076,0
21018_03,1a,t12,NN,label,362753,368423,1
21018_03,1a,t12,NN,response,368424,370634,0
